Internal ID,Product Code,Suggested Name,Website Category,Sub-brand,Description,Short Description,Certification,,
2325,FSEX6EMCPG,Commander Contempo 6ltr MultiCHEM - Polished Gold,Fire Extinguishers,Contempo® ,"• The 34A rating gives the industry’s highest available A rating for a 6 litre extinguisher. This means that even in the hands of an untrained and incompetent person the MultiCHEM can tackle a sizeable fire
• A 233B rating gives unsurpassed ability to tackle flammable liquid fires involving large amounts of fuel and a big surface area
• And then to round it all off, the 75F rating enables this unit to be used on deep fat fryer fires up to 75 litres capacity
• Full range of spare parts
• 5-year warranty
• Plastic base skirt for protection
• Polyethylene internal lining
","Contmpo extinguishers are perfect for areas where appearance is important, and the Polished Gold provides just that - a luxury finish.
The MultiCHEM from CommanderEDGE - a ground-breaking and innovative fire extinguisher.
Multi-class fire extinguishers are no newcomers to the market, but the MultiCHEM offers a new solution - a high-performance ABF rated extinguisher.",,,
2328,FSEX6EMCSS,Commander Contempo 6ltr MultiCHEM - Stainless Steel,Fire Extinguishers,Contempo® ,"• The 34A rating gives the industry’s highest available A rating for a 6 litre extinguisher. This means that even in the hands of an untrained and incompetent person the MultiCHEM can tackle a sizeable fire
• A 233B rating gives unsurpassed ability to tackle flammable liquid fires involving large amounts of fuel and a big surface area
• And then to round it all off, the 75F rating enables this unit to be used on deep fat fryer fires up to 75 litres capacity
• Full range of spare parts
• 5-year warranty
• Plastic base skirt for protection
• Polyethylene internal lining
","Contmpo extinguishers are perfect for areas where appearance is important. 
Stainless steel is one of the most corrosion-resistant metals known, as well as being very strong. This makes these units amongst the toughest available. Every individual part is corrosion-resistant, and the units are proven to last in even the harshest of environments.
The MultiCHEM from CommanderEDGE - a ground-breaking and innovative fire extinguisher.
Multi-class fire extinguishers are no newcomers to the market, but the MultiCHEM offers a new solution - a high-performance ABF rated extinguisher.",,735,
2318,WSEX6AC,Commander Contempo 6ltr Water - Antique Copper,Fire Extinguishers,Contempo® ,"• 13A Rating
• 5 Year Warranty
• Corrosion-resistant finish
• Full range of spare parts
• Plastic base skirt for protection
• Polyethylene internal lining","This combines fire safety with the most exquisite hand-finished architectiral finishes. This means you don't have to spoil your carefully crafted interior design with mandatory fire equipment.
This is Contempo by Commander.
Brushed Antique Copper
Truly an industry-first, these exquisite cans have been hand-finished. Each one is unique in it's beauty.
Perfect for modern bars and restaurants, luxury hotel and contemporary commercial interiors, this is fire safety equipment you actually want on show!
And with the matching brushed antique copper tubular stands and ID signs, this range is truly Elegance in Fire Defence.
",,331,
2323,WSEX6PG,Commander Contempo 6ltr Water - Polished Gold,Fire Extinguishers,Contempo® ,"• 13A Rating
• 5 Year Warranty
• Corrosion-resistant finish
• Full Range of spare parts
• Plastic base skirt for protection
• Polyethylene internal lining
","This combines fire safety with the most exquisite hand-finished architectural finishes. This means you don't have to spoil your carefully crafted interior design with mandatory fire equipment. This is Contempo by Commander.
Polished Gold. Synonymous with the ultimate in luxury, polished gold extinguishers don't just blend into their surroundings - they look part of it.
Not to be confused with some retro-fit wrap on a standard extinguisher, these are electro plated to give a stunning mirror finish
And with matching polished gold tubular stands and ID Signs, this range is truly Elegance in Fire Defence
",,272,
1715,WSEX6SS,Commander Contempo 6ltr Water - Stainless Steel,Fire Extinguishers,Contempo® ,"• 13A Rating
• 5 Year Warranty
• Corrosion-resistant finish 
• Full Range of spare parts 
• Plastic base skirt for protection
","With a superb highly polished finish the Contempo Polishes Stainless Steel are perfect for areas where appearance is important Stainless Steel handles complement the polished bodies perfectly.This combines fire safety with the most exquisite hand-finished architectiral finishes.

Stainless Steel is one of the most corrosion-resistant metals known, as well as being very strong. This makes these units amongst the toughest available. Every individual part is corrosion-resistant, and the units are proven to last in even the harshest of environments.",,37,
1759,DPEX9SS,Commander Contempo 9kg ABC Dry Powder - Stainless Steel,Fire Extinguishers,Contempo® ,"• 43A 233B
• 5 Year Warranty
• Corrosion-resistant finish 
• Full Range of spare parts 
• Plastic base skirt for protection
","Not a common association, but we have never believed the two should be mutually exclusive… uperb highly polished finish, the Commander Stainless Steel and Polished extinguishers are perfect for areas where appearance is important. 

Stainless steel is one of the most corrosion-resistant metals known, as well as being very strong. this makes these units amongst the toughest available. Lasting in even the harshest of environments.",,248,
1285,FSEX9SS,Commander Contempo 9ltr AFF Foam - Stainless Steel,Fire Extinguishers,Contempo® ,"• 43A 233B
• 5 Year Warranty
• Corrosion-resistant finish 
• Full Range of spare parts 
• Plastic base skirt for protection
","Not a common association, but we have never believed the two should be mutually exclusive… uperb highly polished finish, the Commander Stainless Steel and Polished extinguishers are perfect for areas where appearance is important. 

Stainless steel is one of the most corrosion-resistant metals known, as well as being very strong. this makes these units amongst the toughest available. Lasting in even the harshest of environments.",,295,
1761,WSEX9SS,Commander Contempo 9ltr Water - Stainless Steel,Fire Extinguishers,Contempo® ,"• 13A Rating
• 5 Year Warranty
• Corrosion-resistant finish
• Full Range of spare parts
• Plastic base skirt for protection
• Polyethylene internal lining
","Not a common association, but we have never believed the two should be mutually exclusive… uperb highly polished finish, the Commander Stainless Steel and Polished extinguishers are perfect for areas where appearance is important. 

Stainless steel is one of the most corrosion-resistant metals known, as well as being very strong. this makes these units amongst the toughest available. Lasting in even the harshest of environments.",,120,
2208,CS09-DA,Commander Double BA Equipment Cabinet - Green,Ancillary Products,Commander® ,"• Manufactured from ABS  
• Fully weather sealed
• Resistant to chemicals 
• Brilliant shock resistance 
• Innovative internal clamp system 
• Wide range of colours and sizes available
","This cabinet is  manufactured from ABS plastic.  ABS is extremely robust, and has remarkable ability to absorb shocks and bumps.  We have tested one in extreme conditions, even bashing it with a digger bucket, and dropping from over 10 feet high - shrugs it off! Another famous quality of ABS is its resistance to chemicals.  Along with their effective weather and water seal, these cabinets can be used in all sorts of extreme conditions.It’s not just about what’s on the outside...  The internals of these cabinets are brilliant too.  An innovative clamp and strap system firmly holds extinguishers in place, and accommodate pretty much any shape and size of extinguisher.  Or they can even be taken out completely for a truly versatile space.",,261,
2206,CS03-DA,Commander Double Cabinet,Ancillary Products,Commander® ,"The double cabinet will house 2 extinguishers up to 9kg capacity or 2kg CO2 units.

Available in red, green or yellow
","These new cabinets offer tremendous value for money.  Manufactured from incredibly tough ABS plastic, they are durable and very strong.  A weather seal keeps rain and dust out, and the brilliant internal clamping system holds the extinguisher firmly in place, whilst also being quick and easy to remove should an emergency arise.",,38,
